"female_nonwhite"|"GenderRace"|"resid_LSAT"|"resid_UGPA"|"scf_LSAT"|"scf_UGPA"
"1"|0|"Female-White"|1.81069298992886|-0.138948739790546|39|3.1
"2"|0|"Female-White"|-1.18930701007114|-0.238948739790546|36|3
"3"|0|"Male-White"|-7.18930701007114|-0.138948739790546|30|3.1
"4"|0|"Male-NonWhite"|1.81069298992886|-1.03894873979055|39|2.2
"5"|0|"Female-White"|-0.18930701007114|0.161051260209454|37|3.4
"6"|0|"Female-White"|-7.18930701007114|0.361051260209454|30|3.6
"7"|0|"Male-White"|-1.18930701007114|0.361051260209454|36|3.6
"8"|0|"Male-White"|-0.18930701007114|-0.538948739790546|37|2.7
"9"|0|"Female-White"|-0.18930701007114|-0.638948739790546|37|2.6
"10"|0|"Male-White"|-6.18930701007114|0.361051260209454|31|3.6
"11"|0|"Male-White"|3.81069298992886|-0.0389487397905457|41|3.2
"12"|0|"Male-White"|-2.18930701007114|-0.138948739790546|35|3.1
"13"|0|"Female-White"|-2.18930701007114|-0.0389487397905457|35|3.2
"14"|0|"Male-White"|-2.18930701007114|-0.338948739790546|35|2.9
"15"|0|"Male-White"|3.81069298992886|-0.938948739790546|41|2.3
"16"|0|"Male-White"|-7.18930701007114|0.061051260209454|30|3.3
"17"|0|"Female-White"|-1.18930701007114|-0.238948739790546|36|3
"18"|0|"Male-White"|2.81069298992886|0.661051260209454|40|3.9
"19"|0|"Male-White"|-1.18930701007114|0.161051260209454|36|3.4
"20"|0|"Male-White"|-8.18930701007114|-0.538948739790546|29|2.7
"21"|0|"Male-White"|-0.18930701007114|-0.0389487397905457|37|3.2
"22"|0|"Male-White"|-7.18930701007114|-0.138948739790546|30|3.1
"23"|0|"Male-White"|2.81069298992886|-0.138948739790546|40|3.1
"24"|0|"Male-NonWhite"|-6.18930701007114|-0.138948739790546|31|3.1
"25"|0|"Female-White"|-0.18930701007114|0.361051260209454|37|3.6
"26"|0|"Male-NonWhite"|-8.18930701007114|-0.438948739790546|29|2.8
"27"|0|"Male-White"|-3.18930701007114|-0.438948739790546|34|2.8
"28"|0|"Male-White"|-2.18930701007114|-0.238948739790546|35|3
"29"|0|"Male-White"|2.81069298992886|0.161051260209454|40|3.4
"30"|0|"Male-White"|-1.18930701007114|-0.638948739790546|36|2.6
"31"|0|"Male-White"|-8.18930701007114|-0.338948739790546|29|2.9
"32"|0|"Male-White"|-2.18930701007114|-0.738948739790546|35|2.5
"33"|0|"Male-White"|-5.18930701007114|0.161051260209454|32|3.4
"34"|0|"Female-White"|-1.18930701007114|-0.538948739790546|36|2.7
"35"|0|"Male-White"|-1.18930701007114|0.061051260209454|36|3.3
"36"|0|"Male-White"|-1.18930701007114|-0.738948739790546|36|2.5
"37"|0|"Male-White"|0.81069298992886|0.361051260209454|38|3.6
"38"|0|"Male-White"|-1.18930701007114|0.361051260209454|36|3.6
"39"|0|"Male-White"|-5.18930701007114|-0.0389487397905457|32|3.2
"40"|0|"Female-White"|-10.1893070100711|0.261051260209454|27|3.5
"41"|0|"Male-White"|-1.18930701007114|-0.838948739790546|36|2.4
"42"|0|"Female-NonWhite"|-13.2291325695565|0.107801418439782|23.96|3.347
"43"|0|"Female-White"|-3.18930701007114|0.461051260209454|34|3.7
"44"|0|"Female-White"|-2.18930701007114|-0.138948739790546|35|3.1
"45"|0|"Female-NonWhite"|-1.22913256955653|0.107801418439782|35.96|3.347
"46"|0|"Male-White"|-1.18930701007114|-0.438948739790546|36|2.8
"47"|0|"Male-NonWhite"|-5.18930701007114|-0.238948739790546|32|3
"48"|0|"Female-White"|0.81069298992886|0.461051260209454|38|3.7
"49"|0|"Male-White"|-3.18930701007114|-0.0389487397905457|34|3.2
"50"|0|"Male-White"|0.81069298992886|-0.438948739790546|38|2.8
"51"|0|"Female-White"|-1.18930701007114|0.161051260209454|36|3.4
"52"|0|"Female-White"|4.81069298992886|0.261051260209454|42|3.5
"53"|0|"Male-White"|-8.18930701007114|-0.938948739790546|29|2.3
"54"|0|"Male-White"|-6.18930701007114|0.461051260209454|31|3.7
"55"|0|"Female-NonWhite"|-9.22913256955653|-0.492198581560218|27.96|2.747
"56"|0|"Male-White"|-0.18930701007114|0.561051260209454|37|3.8
"57"|0|"Female-White"|-4.18930701007114|0.061051260209454|33|3.3
"58"|0|"Male-White"|-2.18930701007114|0.061051260209454|35|3.3
"59"|0|"Male-White"|-1.18930701007114|-0.0389487397905457|36|3.2
"60"|0|"Male-White"|-1.18930701007114|-0.838948739790546|36|2.4
"61"|0|"Male-White"|3.81069298992886|0.161051260209454|41|3.4
"62"|0|"Female-White"|-3.18930701007114|0.261051260209454|34|3.5
"63"|0|"Female-NonWhite"|-5.22913256955653|-0.192198581560219|31.96|3.047
"64"|0|"Male-White"|-8.18930701007114|0.061051260209454|29|3.3
"65"|0|"Female-White"|-4.18930701007114|0.061051260209454|33|3.3
"66"|0|"Male-White"|-5.18930701007114|-0.338948739790546|32|2.9
"67"|0|"Male-White"|1.81069298992886|-0.938948739790546|39|2.3
"68"|0|"Male-NonWhite"|-14.1893070100711|0.461051260209454|23|3.7
"69"|0|"Female-White"|1.81069298992886|0.161051260209454|39|3.4
"70"|0|"Female-White"|1.81069298992886|-0.238948739790546|39|3
"71"|0|"Female-White"|-5.18930701007114|0.561051260209454|32|3.8
"72"|0|"Male-White"|-8.18930701007114|0.061051260209454|29|3.3
"73"|0|"Male-White"|-6.18930701007114|-0.238948739790546|31|3
"74"|0|"Female-White"|-1.18930701007114|0.061051260209454|36|3.3
"75"|0|"Male-NonWhite"|-10.1893070100711|-0.838948739790546|27|2.4
"76"|0|"Male-White"|-7.18930701007114|0.261051260209454|30|3.5
"77"|0|"Male-White"|0.81069298992886|0.261051260209454|38|3.5
"78"|0|"Female-White"|-3.18930701007114|-0.438948739790546|34|2.8
"79"|0|"Male-White"|-0.18930701007114|0.461051260209454|37|3.7
"80"|0|"Female-NonWhite"|3.77086743044347|-0.392198581560218|40.96|2.847
"81"|0|"Male-White"|5.81069298992886|-0.238948739790546|43|3
"82"|0|"Male-White"|4.81069298992886|-0.338948739790546|42|2.9
"83"|0|"Male-White"|-3.18930701007114|0.161051260209454|34|3.4
"84"|0|"Male-White"|-12.1893070100711|-0.338948739790546|25|2.9
"85"|0|"Female-White"|0.81069298992886|0.161051260209454|38|3.4
"86"|0|"Male-White"|4.81069298992886|0.361051260209454|42|3.6
"87"|0|"Male-White"|-0.18930701007114|0.261051260209454|37|3.5
"88"|0|"Male-White"|-7.18930701007114|0.261051260209454|30|3.5
"89"|0|"Male-White"|3.81069298992886|-0.138948739790546|41|3.1
"90"|0|"Female-White"|0.81069298992886|0.361051260209454|38|3.6
"91"|0|"Female-White"|4.81069298992886|-0.0389487397905457|42|3.2
"92"|0|"Female-White"|-1.18930701007114|0.061051260209454|36|3.3
"93"|0|"Female-White"|-1.18930701007114|0.361051260209454|36|3.6
"94"|0|"Female-White"|1.81069298992886|0.261051260209454|39|3.5
"95"|0|"Male-White"|-9.18930701007114|-0.338948739790546|28|2.9
"96"|0|"Female-White"|4.81069298992886|0.061051260209454|42|3.3
"97"|0|"Female-White"|5.81069298992886|0.261051260209454|43|3.5
"98"|0|"Male-White"|5.81069298992886|-0.138948739790546|43|3.1
"99"|0|"Male-White"|-2.18930701007114|-0.0389487397905457|35|3.2
"100"|0|"Male-White"|2.81069298992886|0.461051260209454|40|3.7
"101"|0|"Female-White"|4.81069298992886|-0.738948739790546|42|2.5
"102"|0|"Female-White"|4.81069298992886|-0.538948739790546|42|2.7
"103"|0|"Female-White"|2.81069298992886|0.461051260209454|40|3.7
"104"|0|"Female-White"|0.81069298992886|0.261051260209454|38|3.5
"105"|0|"Male-White"|2.81069298992886|0.061051260209454|40|3.3
"106"|0|"Female-White"|1.81069298992886|0.261051260209454|39|3.5
"107"|0|"Female-White"|-1.18930701007114|0.361051260209454|36|3.6
"108"|0|"Female-White"|0.81069298992886|0.361051260209454|38|3.6
"109"|0|"Male-White"|-1.18930701007114|-0.238948739790546|36|3
"110"|0|"Male-White"|1.81069298992886|-0.0389487397905457|39|3.2
"111"|0|"Female-White"|-0.18930701007114|0.661051260209454|37|3.9
"112"|0|"Male-White"|-5.18930701007114|-0.538948739790546|32|2.7
"113"|0|"Female-White"|3.81069298992886|0.761051260209454|41|4
"114"|0|"Male-White"|3.81069298992886|-0.238948739790546|41|3
"115"|0|"Female-White"|-1.18930701007114|0.061051260209454|36|3.3
"116"|0|"Male-White"|-2.18930701007114|0.561051260209454|35|3.8
"117"|0|"Female-White"|1.81069298992886|0.461051260209454|39|3.7
"118"|0|"Female-White"|-0.18930701007114|0.561051260209454|37|3.8
"119"|0|"Male-White"|-0.18930701007114|-0.138948739790546|37|3.1
"120"|0|"Male-White"|-1.18930701007114|0.561051260209454|36|3.8
"121"|0|"Male-White"|2.81069298992886|0.061051260209454|40|3.3
"122"|0|"Female-White"|7.81069298992886|0.061051260209454|45|3.3
"123"|0|"Male-White"|-2.18930701007114|-0.638948739790546|35|2.6
"124"|0|"Female-White"|-0.18930701007114|0.361051260209454|37|3.6
"125"|0|"Male-White"|2.81069298992886|0.561051260209454|40|3.8
"126"|0|"Male-White"|1.81069298992886|0.161051260209454|39|3.4
"127"|0|"Male-White"|-4.18930701007114|0.661051260209454|33|3.9
"128"|0|"Male-White"|2.81069298992886|0.361051260209454|40|3.6
"129"|0|"Male-White"|0.81069298992886|0.561051260209454|38|3.8
"130"|0|"Female-White"|3.81069298992886|0.061051260209454|41|3.3
"131"|0|"Male-White"|-3.18930701007114|-0.338948739790546|34|2.9
"132"|0|"Male-White"|2.81069298992886|-0.138948739790546|40|3.1
"133"|0|"Female-NonWhite"|5.77086743044347|0.207801418439781|42.96|3.447
"134"|0|"Female-White"|2.81069298992886|-0.0389487397905457|40|3.2
"135"|0|"Male-White"|-5.18930701007114|0.161051260209454|32|3.4
"136"|0|"Female-White"|3.81069298992886|0.161051260209454|41|3.4
"137"|0|"Female-White"|-0.18930701007114|0.261051260209454|37|3.5
"138"|0|"Male-White"|3.81069298992886|0.061051260209454|41|3.3
"139"|0|"Female-White"|1.81069298992886|0.361051260209454|39|3.6
"140"|0|"Male-White"|0.81069298992886|0.261051260209454|38|3.5
"141"|0|"Male-White"|4.81069298992886|-0.138948739790546|42|3.1
"142"|0|"Female-White"|-0.18930701007114|0.361051260209454|37|3.6
"143"|0|"Female-NonWhite"|-0.229132569556533|-0.292198581560219|36.96|2.947
"144"|0|"Female-White"|1.81069298992886|0.361051260209454|39|3.6
"145"|0|"Female-White"|-5.18930701007114|-0.438948739790546|32|2.8
"146"|0|"Male-White"|3.81069298992886|-0.138948739790546|41|3.1
"147"|0|"Female-White"|-1.18930701007114|0.461051260209454|36|3.7
"148"|0|"Male-White"|0.81069298992886|0.161051260209454|38|3.4
"149"|0|"Male-White"|-3.18930701007114|0.061051260209454|34|3.3
"150"|0|"Male-White"|0.81069298992886|0.361051260209454|38|3.6
"151"|0|"Male-White"|5.81069298992886|-0.338948739790546|43|2.9
"152"|0|"Female-White"|-2.18930701007114|0.461051260209454|35|3.7
"153"|0|"Male-NonWhite"|-0.18930701007114|0.361051260209454|37|3.6
"154"|0|"Female-White"|-0.18930701007114|0.661051260209454|37|3.9
"155"|0|"Male-White"|2.81069298992886|-0.0389487397905457|40|3.2
"156"|0|"Female-White"|7.81069298992886|-0.0389487397905457|45|3.2
"157"|0|"Male-White"|2.81069298992886|0.061051260209454|40|3.3
"158"|0|"Male-White"|2.81069298992886|0.061051260209454|40|3.3
"159"|0|"Female-White"|0.81069298992886|0.161051260209454|38|3.4
"160"|0|"Male-White"|2.81069298992886|0.161051260209454|40|3.4
"161"|0|"Female-NonWhite"|-0.229132569556533|-0.292198581560219|36.96|2.947
"162"|0|"Male-White"|-1.18930701007114|0.461051260209454|36|3.7
"163"|0|"Female-White"|-7.18930701007114|0.261051260209454|30|3.5
"164"|0|"Male-White"|-0.18930701007114|0.461051260209454|37|3.7
"165"|0|"Female-NonWhite"|3.77086743044347|-0.0921985815602184|40.96|3.147
"166"|0|"Female-NonWhite"|-1.22913256955653|0.307801418439781|35.96|3.547
"167"|0|"Male-White"|-1.18930701007114|-0.538948739790546|36|2.7
"168"|0|"Female-White"|-2.18930701007114|-0.338948739790546|35|2.9
"169"|0|"Female-White"|-9.18930701007114|-0.0389487397905457|28|3.2
"170"|0|"Male-White"|1.81069298992886|-0.838948739790546|39|2.4
"171"|0|"Female-White"|3.81069298992886|0.661051260209454|41|3.9
"172"|0|"Male-White"|-8.18930701007114|0.261051260209454|29|3.5
"173"|0|"Male-White"|-1.18930701007114|-0.138948739790546|36|3.1
"174"|0|"Male-White"|1.81069298992886|0.561051260209454|39|3.8
"175"|0|"Male-White"|-1.18930701007114|-0.238948739790546|36|3
"176"|0|"Male-White"|-1.18930701007114|-0.338948739790546|36|2.9
"177"|0|"Male-White"|-1.18930701007114|-0.338948739790546|36|2.9
"178"|0|"Male-White"|-0.18930701007114|-0.438948739790546|37|2.8
"179"|0|"Male-White"|0.81069298992886|-0.0389487397905457|38|3.2
"180"|0|"Male-White"|-5.18930701007114|-0.138948739790546|32|3.1
"181"|0|"Male-White"|-0.18930701007114|-0.138948739790546|37|3.1
"182"|0|"Male-White"|-10.1893070100711|0.061051260209454|27|3.3
"183"|0|"Female-NonWhite"|-0.229132569556533|0.607801418439782|36.96|3.847
"184"|0|"Female-White"|-6.18930701007114|-0.238948739790546|31|3
"185"|0|"Female-White"|-4.18930701007114|-0.138948739790546|33|3.1
"186"|0|"Male-White"|-2.18930701007114|-0.0389487397905457|35|3.2
"187"|0|"Female-White"|-6.18930701007114|-0.0389487397905457|31|3.2
"188"|0|"Male-White"|-4.18930701007114|-0.238948739790546|33|3
"189"|0|"Female-White"|-4.18930701007114|-0.138948739790546|33|3.1
"190"|0|"Male-White"|-3.18930701007114|-0.338948739790546|34|2.9
"191"|0|"Female-White"|1.81069298992886|0.861051260209454|39|4
"192"|0|"Male-White"|-3.18930701007114|-0.138948739790546|34|3.1
"193"|0|"Male-White"|-3.18930701007114|-0.438948739790546|34|2.8
"194"|0|"Female-White"|-0.18930701007114|-0.438948739790546|37|2.8
"195"|0|"Female-White"|-12.1893070100711|-0.0389487397905457|25|3.2
"196"|0|"Male-White"|-4.18930701007114|-0.338948739790546|33|2.9
"197"|0|"Female-NonWhite"|-3.22913256955653|0.00780141843978166|33.96|3.247
"198"|0|"Female-White"|-3.18930701007114|-0.238948739790546|34|3
"199"|0|"Female-White"|-3.18930701007114|-0.538948739790546|34|2.7
"200"|0|"Female-White"|-7.18930701007114|-0.238948739790546|30|3
"201"|0|"Female-White"|-4.18930701007114|0.061051260209454|33|3.3
"202"|0|"Male-White"|-3.18930701007114|-0.338948739790546|34|2.9
"203"|0|"Female-White"|-7.18930701007114|0.161051260209454|30|3.4
"204"|0|"Female-White"|0.81069298992886|-0.838948739790546|38|2.4
"205"|0|"Male-White"|-5.18930701007114|-0.138948739790546|32|3.1
"206"|0|"Female-White"|2.81069298992886|0.761051260209454|40|4
"207"|0|"Female-White"|4.81069298992886|0.761051260209454|42|4
"208"|0|"Female-White"|-2.18930701007114|-0.0389487397905457|35|3.2
"209"|0|"Female-White"|-8.18930701007114|0.161051260209454|29|3.4
"210"|0|"Male-White"|-2.18930701007114|-0.338948739790546|35|2.9
"211"|0|"Female-White"|-5.18930701007114|-0.138948739790546|32|3.1
