"LSAT"|"sex"|"race_nonwhite"|"lsat0"|"weighted_sense_cols"|"weighted_u"|"pred_LSAT"|"delta"
"2"|36|"Female"|"White"|1.8029077225504|1.81190978449993|-0.0240945117612799|36.2602824651349|0.2602824651349
"3"|30|"Male"|"White"|1.8029077225504|1.82815776054702|-0.00873084426461836|37.4248393919717|7.42483939197169
"4"|39|"Male"|"NonWhite"|1.8029077225504|1.6906467646804|-0.053851171869223|31.1777068493317|-7.82229315066833
"5"|37|"Female"|"White"|1.8029077225504|1.81190978449993|0.00388237360793998|37.2890560703218|0.289056070321806
"6"|30|"Female"|"White"|1.8029077225504|1.81190978449993|0.0164418316315903|37.7603397435269|7.76033974352693
"7"|36|"Male"|"White"|1.8029077225504|1.82815776054702|0.0290795556232292|38.8669796795531|2.86697967955307
"8"|37|"Male"|"White"|1.8029077225504|1.82815776054702|-0.035562828955755|36.4340090914875|-0.565990908512532
"11"|41|"Male"|"White"|1.8029077225504|1.82815776054702|-0.00132968060613387|37.7028543010524|-3.2971456989476
"12"|35|"Male"|"White"|1.8029077225504|1.82815776054702|-0.00662114016354989|37.5038780739187|2.5038780739187
"15"|41|"Male"|"White"|1.8029077225504|1.82815776054702|-0.0614276840226145|35.5037313381502|-5.49626866184983
"22"|30|"Male"|"White"|1.8029077225504|1.82815776054702|-0.0102953881440646|37.3663323688986|7.3663323688986
"25"|37|"Female"|"White"|1.8029077225504|1.81190978449993|0.0186721699699874|37.8446520644784|0.84465206447841
"30"|36|"Male"|"White"|1.8029077225504|1.82815776054702|-0.0416209583151551|36.2139543842882|0.213954384288158
"34"|36|"Female"|"White"|1.8029077225504|1.81190978449993|-0.0440243697602088|35.5447738601833|-0.45522613981673
"38"|36|"Male"|"White"|1.8029077225504|1.82815776054702|0.0271947110636751|38.7937904611757|2.79379046117571
"42"|19|"Female"|"NonWhite"|1.8029077225504|1.67439878863331|0.00211436461591607|32.440929307471|13.440929307471
"46"|36|"Male"|"White"|1.8029077225504|1.82815776054702|-0.0274052340424275|36.7324385571221|0.732438557122144
"47"|32|"Male"|"NonWhite"|1.8029077225504|1.6906467646804|0.00310743918694064|33.0050944365826|1.00509443658262
"48"|38|"Female"|"White"|1.8029077225504|1.81190978449993|0.0264436409542941|38.1399064744406|0.139906474440615
"50"|38|"Male"|"White"|1.8029077225504|1.82815776054702|-0.0283521450246408|36.6976726703466|-1.30232732965336
"51"|36|"Female"|"White"|1.8029077225504|1.81190978449993|0.00429378027247519|37.304400192624|1.30440019262403
"54"|31|"Male"|"White"|1.8029077225504|1.82815776054702|0.0333127937194938|39.0318616046148|8.03186160461478
"55"|23|"Female"|"NonWhite"|1.8029077225504|1.67439878863331|-0.0364797772607086|31.2127521454912|8.21275214549123
"57"|33|"Female"|"White"|1.8029077225504|1.81190978449993|-0.00416412775672131|36.9902135605042|3.99021356050417
"58"|35|"Male"|"White"|1.8029077225504|1.82815776054702|0.00641786680955856|37.996093427683|2.99609342768296
"64"|29|"Male"|"White"|1.8029077225504|1.82815776054702|0.00446155496752233|37.9218338812579|8.92183388125786
"66"|32|"Male"|"White"|1.8029077225504|1.82815776054702|-0.0226823074788817|36.9063334901846|4.90633349018462
"69"|39|"Female"|"White"|1.8029077225504|1.81190978449993|0.00461912456075203|37.3165389406834|-1.68346105931661
"70"|39|"Female"|"White"|1.8029077225504|1.81190978449993|-0.0238393483747783|36.2695359421283|-2.73046405787174
