"UGPA"|"sex"|"race_nonwhite"|"ugpa0"|"weighted_sense_cols"|"weighted_u"|"pred_UGPA"|"delta"
"2"|3|"Female"|"White"|1.6212852304611|1.71181609107502|-0.258118672652889|3.07498264888323|0.0749826488832306
"3"|3.1|"Male"|"White"|1.6212852304611|1.57876999481116|-0.0935314213896596|3.1065238038826|0.0065238038826001
"4"|2.2|"Male"|"NonWhite"|1.6212852304611|1.35303904967267|-0.576894570074827|2.39742971005894|0.197429710058942
"5"|3.4|"Female"|"White"|1.6212852304611|1.71181609107502|0.0415909287705294|3.37469225030665|-0.0253077496933507
"6"|3.6|"Female"|"White"|1.6212852304611|1.71181609107502|0.176137362681423|3.50923868421754|-0.0907613157824576
"7"|3.6|"Male"|"White"|1.6212852304611|1.57876999481116|0.311522240963851|3.51157746623611|-0.0884225337638891
"8"|2.7|"Male"|"White"|1.6212852304611|1.57876999481116|-0.380975978961011|2.81907924631125|0.119079246311249
"11"|3.2|"Male"|"White"|1.6212852304611|1.57876999481116|-0.0142445464970622|3.1858106787752|-0.0141893212248028
"12"|3.1|"Male"|"White"|1.6212852304611|1.57876999481116|-0.070930671988576|3.12912455328368|0.0291245532836837
"15"|2.3|"Male"|"White"|1.6212852304611|1.57876999481116|-0.65805991095194|2.54199531432032|0.24199531432032
"22"|3.1|"Male"|"White"|1.6212852304611|1.57876999481116|-0.110292001287313|3.08976322398495|-0.010236776015053
"25"|3.6|"Female"|"White"|1.6212852304611|1.71181609107502|0.200030437468647|3.53313175900477|-0.0668682409952335
"30"|2.6|"Male"|"White"|1.6212852304611|1.57876999481116|-0.4458752524761|2.75417997279616|0.154179972796159
"34"|2.7|"Female"|"White"|1.6212852304611|1.71181609107502|-0.47162241756425|2.86147890397187|0.16147890397187
"38"|3.6|"Male"|"White"|1.6212852304611|1.57876999481116|0.291330357405913|3.49138558267817|-0.108614417321828
"42"|3.2|"Female"|"NonWhite"|1.6212852304611|1.48608514593653|0.0226506763686131|3.13002105276624|-0.0699789472337571
"46"|2.8|"Male"|"White"|1.6212852304611|1.57876999481116|-0.293585639122217|2.90646958615004|0.106469586150042
"47"|3|"Male"|"NonWhite"|1.6212852304611|1.35303904967267|0.0332892438838148|3.00761352401758|0.00761352401758453
"48"|3.7|"Female"|"White"|1.6212852304611|1.71181609107502|0.283284325113438|3.61638564664956|-0.083614353350443
"50"|2.8|"Male"|"White"|1.6212852304611|1.57876999481116|-0.303729667283939|2.89632555798832|0.0963255579883211
"51"|3.4|"Female"|"White"|1.6212852304611|1.71181609107502|0.0459982287906539|3.37909955032677|-0.0209004496732264
"54"|3.7|"Male"|"White"|1.6212852304611|1.57876999481116|0.356871896074414|3.55692712134667|-0.143072878653326
"55"|2.6|"Female"|"NonWhite"|1.6212852304611|1.48608514593653|-0.390799024213427|2.7165713521842|0.116571352184202
"57"|3.3|"Female"|"White"|1.6212852304611|1.71181609107502|-0.0446092927705318|3.28849202876559|-0.0115079712344119
"58"|3.3|"Male"|"White"|1.6212852304611|1.57876999481116|0.0687530537476345|3.26880827901989|-0.0311917209801056
"64"|3.3|"Male"|"White"|1.6212852304611|1.57876999481116|0.0477955584904366|3.2478507837627|-0.0521492162373032
"66"|2.9|"Male"|"White"|1.6212852304611|1.57876999481116|-0.242990069986072|2.95706515528619|0.0570651552861876
"69"|3.4|"Female"|"White"|1.6212852304611|1.71181609107502|0.0494835634044962|3.38258488494062|-0.017415115059384
"70"|3|"Female"|"White"|1.6212852304611|1.71181609107502|-0.25538516905315|3.07771615248297|0.0777161524829699
"71"|3.8|"Female"|"White"|1.6212852304611|1.71181609107502|0.33677215339772|3.66987347493384|-0.13012652506616
"72"|3.3|"Male"|"White"|1.6212852304611|1.57876999481116|0.057448868452383|3.25750409372464|-0.0424959062753572
"73"|3|"Male"|"White"|1.6212852304611|1.57876999481116|-0.1567290460869|3.04332617918536|0.0433261791853594
"74"|3.3|"Female"|"White"|1.6212852304611|1.71181609107502|-0.0253500655170736|3.30775125601905|0.00775125601904625
"76"|3.5|"Male"|"White"|1.6212852304611|1.57876999481116|0.191529803875136|3.3915850291474|-0.108414970852604
"78"|2.8|"Female"|"White"|1.6212852304611|1.71181609107502|-0.395323804282548|2.93777751725357|0.137777517253572
"81"|3|"Male"|"White"|1.6212852304611|1.57876999481116|-0.131845350841151|3.06820987443111|0.0682098744311084
"84"|2.9|"Male"|"White"|1.6212852304611|1.57876999481116|-0.265868064264518|2.93418716100774|0.034187161007742
"86"|3.6|"Male"|"White"|1.6212852304611|1.57876999481116|0.311464111067225|3.51151933633948|-0.0884806636605151
"87"|3.5|"Male"|"White"|1.6212852304611|1.57876999481116|0.213004520211036|3.4130597454833|-0.0869402545167044
"88"|3.5|"Male"|"White"|1.6212852304611|1.57876999481116|0.204583133677167|3.40463835894943|-0.0953616410505731
"89"|3.1|"Male"|"White"|1.6212852304611|1.57876999481116|-0.077732418682824|3.12232280658944|0.0223228065894356
"90"|3.6|"Female"|"White"|1.6212852304611|1.71181609107502|0.206895510921761|3.53999683245788|-0.0600031675421193
"95"|2.9|"Male"|"White"|1.6212852304611|1.57876999481116|-0.24302229233637|2.95703293293589|0.0570329329358898
"96"|3.3|"Female"|"White"|1.6212852304611|1.71181609107502|-0.0139448796349122|3.31915644190121|0.0191564419012078
"101"|2.5|"Female"|"White"|1.6212852304611|1.71181609107502|-0.605896359371738|2.72720496216438|0.227204962164381
"102"|2.7|"Female"|"White"|1.6212852304611|1.71181609107502|-0.459887090951525|2.87321423058459|0.173214230584594
"103"|3.7|"Female"|"White"|1.6212852304611|1.71181609107502|0.262216557281146|3.59531787881727|-0.104682121182734
"104"|3.5|"Female"|"White"|1.6212852304611|1.71181609107502|0.130333960835974|3.46343528237209|-0.0365647176279058
"108"|3.6|"Female"|"White"|1.6212852304611|1.71181609107502|0.191128158070828|3.52422947960695|-0.0757705203930525
"109"|3|"Male"|"White"|1.6212852304611|1.57876999481116|-0.157243234647449|3.04281199062481|0.0428119906248114
"112"|2.7|"Male"|"White"|1.6212852304611|1.57876999481116|-0.388053551077719|2.81200167419454|0.112001674194541
"115"|3.3|"Female"|"White"|1.6212852304611|1.71181609107502|-0.0284090514631815|3.30469227007294|0.0046922700729386
"117"|3.7|"Female"|"White"|1.6212852304611|1.71181609107502|0.29702475638672|3.63012607792284|-0.0698739220771598
"118"|3.8|"Female"|"White"|1.6212852304611|1.71181609107502|0.342547315330818|3.67564863686694|-0.124351363133062
"121"|3.3|"Male"|"White"|1.6212852304611|1.57876999481116|0.0818531890529514|3.28190841432521|-0.0180915856747887
